sentence,entities
"আহসান হাবীব এর রোমাঞ্চ বইগুলি এখন শান্তিনগর, ঢাকা এ পাওয়া যাবে।","{'authorname': 'আহসান হাবীব', 'categoryname': 'রোমাঞ্চ', 'address': 'শান্তিনগর, ঢাকা'}"
ওয়ালটন এর রোমাঞ্চ পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'ওয়ালটন', 'categoryname': 'রোমাঞ্চ'}"
অর্ডার নং অর্ডার-2142 এর জন্য টিআরএক্স-412096 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-2142', 'trnx': 'টিআরএক্স-412096'}"
এলজি এর নতুন স্মার্ট ফোন এর দাম জানতে ০১৯51372494 নম্বরে কল করুন।,"{'brandname': 'এলজি', 'productname': 'স্মার্ট ফোন', 'phoneno': '০১৯51372494'}"
অ্যাপল এর নতুন ফ্রিজ এর দাম জানতে ০১৬68906607 নম্বরে কল করুন।,"{'brandname': 'অ্যাপল', 'productname': 'ফ্রিজ', 'phoneno': '০১৬68906607'}"
প্যানাসনিক এর নতুন ট্যাবলেট এর দাম জানতে ০১৪37285084 নম্বরে কল করুন।,"{'brandname': 'প্যানাসনিক', 'productname': 'ট্যাবলেট', 'phoneno': '০১৪37285084'}"
26/03/2024 তারিখে অর্ডার-4965 অর্ডারটি ০১৯76023135 নম্বরে ডেলিভারি হবে।,"{'date': '26/03/2024', 'orderno': 'অর্ডার-4965', 'phoneno': '০১৯76023135'}"
কাস্টমার আইডি আইডি-48955 এর ০১৬23108893 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-48955', 'phoneno': '০১৬23108893'}"
সাদিয়া আক্তার সম্প্রতি আগুনের পরশমণি বইটি কিনেছেন।,"{'username': 'সাদিয়া আক্তার', 'bookname': 'আগুনের পরশমণি'}"
অর্ডার নং অর্ডার-4971 এর জন্য টিআরএক্স-948446 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-4971', 'trnx': 'টিআরএক্স-948446'}"
সনি এর নতুন ইনভার্টার এর দাম জানতে ০১৫93641954 নম্বরে কল করুন।,"{'brandname': 'সনি', 'productname': 'ইনভার্টার', 'phoneno': '০১৫93641954'}"
